id,playerid,spin,zone,hit,score
38,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
39,2,LU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
40,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
41,1,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
42,1,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
43,2,DS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
44,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
45,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
46,2,LU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
47,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
48,2,LU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
49,1,LU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
50,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
51,1,RU,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
52,2,DS,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
53,1,RS,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
54,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
55,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
56,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
57,1,RU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
58,2,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
59,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
60,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
61,2,LU,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
62,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
63,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
64,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
65,2,US,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
66,1,DS,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
67,2,US,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
68,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
69,1,LU,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
70,2,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
71,1,LS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
72,1,RD,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
73,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
74,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
75,2,RU,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
76,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
77,2,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
78,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
79,1,RU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
80,2,US,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
81,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
82,1,LD,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
83,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
84,2,LD,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
85,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
86,2,RU,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
87,1,LU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
88,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
89,1,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
90,1,LU,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
91,2,RS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
92,1,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
93,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
94,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
95,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
96,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
97,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
98,1,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
99,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
100,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
101,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
102,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
103,2,RU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
104,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
105,2,LD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
106,1,DS,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
107,2,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
108,2,LU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
109,1,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
110,1,LU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
111,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
112,1,LU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
113,2,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
114,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
115,2,LU,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
116,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
117,2,LD,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
118,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
119,1,RD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
120,2,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
121,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
122,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
123,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
124,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
125,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
126,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
127,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
128,2,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
129,1,RD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
130,1,RD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
131,2,LU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
132,2,RU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
133,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
134,2,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
135,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
136,2,RU,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
137,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
138,2,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
139,1,RD,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
140,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
141,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
142,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
143,1,RU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
144,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
145,1,RD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
146,2,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
147,1,DS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
148,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
149,1,RU,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
150,2,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
151,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
152,1,RD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
153,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
154,2,RD,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
155,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
156,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
157,2,LD,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
158,1,US,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
159,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
160,1,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
161,1,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
162,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
163,1,RD,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
164,2,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
165,1,RS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
166,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
167,1,DS,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
168,2,LU,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
169,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
170,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
171,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
172,2,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
173,1,LU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
174,2,RU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
175,2,RU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
176,1,DS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
177,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
178,1,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
179,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
180,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
181,1,LD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
182,2,NS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
183,2,RU,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
184,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
185,1,LD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
186,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
187,1,RU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
188,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
189,1,LU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
190,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
191,2,RD,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
192,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
193,2,LD,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
194,1,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
195,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
196,2,LD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
197,1,LU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
198,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
199,1,LD,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
200,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
201,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
202,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
203,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
204,2,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
205,1,DS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
206,2,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
207,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
208,2,LS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
209,2,RD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
210,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
211,2,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
212,1,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
213,2,DS,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
214,1,RD,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
215,2,RD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
216,1,LD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
217,2,RD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
218,1,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
219,2,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
220,1,DS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
221,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
222,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
223,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
224,1,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
225,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
226,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
227,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
228,2,LD,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
229,2,LD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
230,1,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
231,2,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
232,1,NS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
233,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
234,1,RD,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
235,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
236,1,LU,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
237,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
238,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
239,2,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
240,1,US,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
241,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
242,1,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
243,2,NS,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
244,1,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
245,2,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
246,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
247,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
248,2,RD,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
249,1,NS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
250,2,US,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
251,1,RU,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
252,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
253,2,LD,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
254,1,DS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
255,2,US,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
256,1,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
257,2,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
258,1,DS,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
259,2,US,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
260,1,RS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
261,2,RU,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
262,1,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
263,2,US,1,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
264,1,US,2,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
265,2,US,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
266,1,US,5,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
267,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
268,1,LU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
269,1,RD,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
270,2,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
271,2,DS,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
272,1,NS,6,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
273,2,RS,4,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
274,1,US,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
275,2,LU,0,False,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
276,1,RU,3,True,"{1: [12, 4, 11, 11, 5], 2: [14, 11, 7, 1, 11]}"
