id,playerid,spin,zone,hit
252,2,US,4,True
253,1,US,0,False
254,1,RD,5,True
255,2,US,4,True
256,1,US,0,False
257,2,RU,3,True
258,1,US,0,False
259,2,RU,3,True
260,1,US,4,True
261,2,DS,3,True
262,1,DS,4,True
263,2,LD,3,True
264,1,US,4,True
265,2,LD,4,True
266,1,NS,6,True
267,2,RD,3,True
268,1,US,4,True
269,2,RD,0,False
270,1,DS,6,True
271,2,US,3,True
272,1,DS,5,True
273,2,DS,3,True
274,1,LU,0,False
275,1,DS,3,True
276,2,RS,3,True
277,1,RU,0,False
278,2,RD,0,False
279,2,LD,1,True
280,1,US,4,True
281,2,US,0,False
282,1,RU,2,True
283,2,LU,6,True
284,1,DS,4,True
285,2,LS,4,True
286,1,US,4,True
287,2,RS,5,True
288,1,US,5,True
289,2,US,4,True
290,1,LS,6,True
291,2,US,0,False
292,1,DS,3,True
293,2,US,4,True
294,1,LU,4,True
295,2,US,1,True
296,1,US,0,False
297,2,RD,0,False
298,2,LD,0,False
299,1,LD,0,False
300,1,RU,3,True
301,2,US,5,True
302,1,RS,0,False
303,2,LD,0,False
304,2,LU,0,False
305,1,LD,3,True
306,2,RU,6,True
307,1,US,3,True
308,2,NS,4,True
309,1,US,0,False
310,1,LD,3,True
311,2,US,4,True
312,1,US,2,True
313,2,US,0,False
314,2,RD,4,True
315,1,US,1,True
316,2,US,4,True
317,1,US,0,False
318,2,RD,1,True
319,1,US,0,False
320,1,LU,3,True
321,2,NS,6,True
322,1,US,0,False
323,1,LU,3,True
324,2,US,5,True
325,1,NS,4,True
326,2,RU,6,True
327,1,US,2,True
328,2,LS,0,False
329,2,LU,3,True
330,1,US,4,True
331,2,US,4,True
332,1,RS,2,True
333,2,US,4,True
334,1,US,6,True
335,2,US,4,True
336,1,US,6,True
337,2,US,6,True
338,1,US,0,False
339,2,RU,0,False
340,1,LD,3,True
341,2,US,4,True
342,1,US,0,False
343,1,LD,3,True
344,2,US,0,False
345,2,LU,2,True
346,1,NS,4,True
347,2,DS,6,True
348,1,US,0,False
349,2,LU,0,False
350,1,RD,3,True
351,2,DS,0,False
352,1,NS,0,False
353,2,LU,0,False
354,2,LD,3,True
355,1,US,4,True
356,2,US,4,True
357,1,US,4,True
358,2,LU,6,True
359,1,US,0,False
360,1,RU,0,False
361,1,RD,2,True
362,2,US,6,True
363,1,DS,6,True
364,2,US,6,True
365,1,US,4,True
366,2,DS,6,True
367,1,DS,3,True
368,2,US,5,True
369,1,US,3,True
370,2,LD,6,True
371,1,US,0,False
372,2,RD,1,True
373,1,NS,4,True
374,2,US,1,True
375,1,US,4,True
376,2,DS,3,True
377,1,US,4,True
378,2,US,4,True
379,1,DS,0,False
380,2,US,3,True
381,1,US,1,True
382,2,US,0,False
383,1,RU,3,True
384,2,DS,6,True
385,1,US,6,True
386,2,RU,4,True
387,1,US,4,True
388,2,US,6,True
389,1,DS,4,True
390,2,US,6,True
391,1,RU,0,False
392,1,RD,4,True
393,2,US,4,True
394,1,DS,6,True
395,2,US,0,False
396,2,RU,3,True
397,1,US,0,False
398,2,LU,0,False
399,1,LD,4,True
400,2,US,5,True
401,1,US,0,False
402,1,DS,0,False
403,2,LD,4,True
404,1,US,2,True
405,2,US,3,True
406,1,NS,4,True
407,2,NS,5,True
408,1,LU,0,False
409,2,LD,0,False
410,1,NS,0,False
411,1,LD,1,True
412,2,DS,4,True
413,1,US,0,False
414,2,LS,0,False
415,2,LD,3,True
416,1,US,0,False
417,1,LU,1,True
418,2,US,4,True
419,1,US,3,True
420,2,DS,4,True
421,1,US,6,True
422,2,LU,5,True
423,1,US,4,True
424,2,US,0,False
425,1,RD,3,True
426,2,DS,0,False
427,2,LU,2,True
428,1,LU,6,True
429,2,DS,3,True
430,1,US,3,True
431,2,US,0,False
432,2,LU,4,True
433,1,DS,5,True
434,2,US,6,True
435,1,RU,4,True
436,2,US,6,True
437,1,US,0,False
438,1,LD,1,True
439,2,US,3,True
440,1,US,3,True
441,2,US,2,True
442,1,US,0,False
