id,playerid,spin,zone,hit
323,1,LD,3,True
324,2,US,1,True
325,1,US,0,False
326,2,LD,0,False
327,2,LU,3,True
328,1,NS,5,True
329,2,US,4,True
330,1,DS,4,True
331,2,US,4,True
332,1,US,0,False
333,1,LU,3,True
334,2,US,0,False
335,1,LD,6,True
336,2,US,5,True
337,1,DS,4,True
338,2,US,0,False
339,2,LD,3,True
340,1,US,4,True
341,2,US,4,True
342,1,US,3,True
343,2,US,4,True
344,1,US,5,True
345,2,US,4,True
346,1,US,4,True
347,2,US,4,True
348,1,LD,0,False
349,2,RD,1,True
350,1,US,3,True
351,2,DS,4,True
352,1,US,6,True
353,2,US,2,True
354,1,US,4,True
355,2,US,2,True
356,1,US,4,True
357,2,NS,1,True
358,1,DS,4,True
359,2,US,0,False
360,1,LU,3,True
361,2,US,0,False
362,1,LU,0,False
363,2,LD,3,True
364,1,US,0,False
365,2,LU,1,True
366,1,US,4,True
367,2,RU,6,True
368,1,US,6,True
369,2,RU,6,True
370,1,US,0,False
371,1,DS,3,True
372,2,RU,6,True
373,1,RU,1,True
374,2,US,5,True
375,1,DS,6,True
376,2,US,6,True
377,1,NS,5,True
378,2,US,0,False
379,1,RD,3,True
380,2,US,6,True
381,1,US,5,True
382,2,US,0,False
383,2,LD,1,True
384,1,NS,4,True
385,2,DS,4,True
386,1,DS,4,True
387,2,US,4,True
388,1,NS,0,False
389,2,LS,0,False
390,1,DS,3,True
391,2,US,5,True
392,1,US,4,True
393,2,LD,0,False
394,1,NS,4,True
395,2,US,6,True
396,1,US,6,True
397,2,DS,4,True
398,1,US,0,False
399,2,LU,5,True
400,1,US,0,False
401,2,LD,2,True
402,1,RS,6,True
403,2,NS,6,True
404,1,US,6,True
405,2,NS,0,False
406,1,US,3,True
407,2,US,4,True
408,1,US,1,True
409,2,DS,4,True
410,1,US,4,True
411,2,DS,6,True
412,1,US,3,True
413,2,LU,4,True
414,1,DS,4,True
415,2,RU,5,True
416,1,US,0,False
417,1,RU,0,False
418,2,LD,3,True
419,1,US,4,True
420,2,US,4,True
421,1,DS,1,True
422,2,US,6,True
423,1,US,6,True
424,2,RU,0,False
425,2,RS,1,True
426,1,US,3,True
427,2,US,6,True
428,1,LD,4,True
429,2,LU,6,True
430,1,US,1,True
431,2,US,6,True
432,1,US,5,True
433,2,DS,3,True
434,1,RU,0,False
435,1,LD,4,True
436,2,LS,4,True
437,1,LS,0,False
